abs_log_excess_amp_25,collapsed,cov_trace,effective_dim,env,excess_amp_1,excess_amp_10,excess_amp_25,excess_amp_5,excess_amp_50,excess_amp_median_ratio_1,excess_amp_median_ratio_10,excess_amp_median_ratio_25,excess_amp_median_ratio_5,excess_amp_median_ratio_50,final_loss,final_pred_loss,final_reg_loss,gt_state_amp_1,gt_state_amp_10,gt_state_amp_25,gt_state_amp_5,gt_state_amp_50,integrated_probe_open_loop_error,lambda_reg,latent_dim,linear_probe_r2,load_encoder_from,open_loop_mse_1,open_loop_mse_10,open_loop_mse_25,open_loop_mse_5,open_loop_mse_50,perturb_amp_1,perturb_amp_10,perturb_amp_25,perturb_amp_5,perturb_amp_50,probe_open_loop_error_1,probe_open_loop_error_10,probe_open_loop_error_25,probe_open_loop_error_5,probe_open_loop_error_50,probe_state_amp_1,probe_state_amp_10,probe_state_amp_25,probe_state_amp_5,probe_state_amp_50,protocol,rank_1pct,reg_target,regularizer,run_dir,seed,sigreg_projections,steps
0.6508255701839989,0.0,14.516202214499609,15.395786203034662,lorenz,1.1033202259226627,1.1204864433999013,1.917122895372113,1.0626392368465591,11.086602575478912,1.1097287431610428,1.0759389521504295,1.3596484016611936,1.0701245680510674,1.9371186607426898,0.07155841588973999,0.0001503572566434741,0.7140805721282959,0.9637553691864014,1.0885626077651978,1.8144530057907104,0.9472656846046448,2.9776477813720703,737.8255184183295,0.1,16,0.9699475657856479,,0.000266916467808187,0.016559863463044167,0.7752212882041931,0.002591486554592848,51.7413330078125,0.7907814979553223,2.01190447807312,13.673126220703125,1.0427556037902832,135.97109985351562,2.3907863361157733,2.302461584744493,7.699698946618561,2.0637874508434395,43.64343314155427,1.0633307916649195,1.2197196447929484,3.47852939997812,1.0066016841792131,33.011997561828665,1step,16.0,encoded,moment,runs/lorenz__moment__1step__seed0,0,256,10000
1.557552998462892,0.0,15.1452327199191,15.705495833508138,lorenz,1.022125268134438,1.2107302957721213,4.7471906380963285,1.0342446834406427,527.069708793568,1.025430443525892,1.1092928077923425,1.7631582710584048,1.0050859650004846,7.199116401320699,0.11783552914857864,0.00026887236163020134,1.1756665706634521,0.9628359079360962,1.0800820589065552,1.8518834114074707,0.9400607347488403,2.8015360832214355,32055.323551895297,0.1,16,0.962154010450514,,0.00035300489980727434,0.02375905215740204,2.677192211151123,0.0036853072233498096,68063.1484375,0.788662314414978,2.5206117630004883,27.60744857788086,1.1340471506118774,2884.6083984375,2.313722570407382,2.608928596637021,15.95636056860985,2.1388087604642294,2535.5758486966897,0.9841389105686473,1.3076880706380953,8.791243593479436,0.9722528170252924,1476.6048075581953,1step,16.0,encoded,moment,runs/lorenz__moment__1step__seed1,1,256,10000
0.8974837558139117,0.0,15.201165018921799,15.6434617372506,lorenz,1.0919900840472483,1.108309015954616,2.453421929071497,1.0886869541642472,33.222727273856144,1.0258547538345653,1.0514173629277694,1.2735269789203625,1.044414714486466,1.5999524096718234,0.10747967660427094,0.00016571016749367118,1.0731396675109863,0.9623817205429077,1.0898467302322388,1.887940526008606,0.9435772895812988,3.3166913986206055,2179.2929213045268,0.1,16,0.9291914439329821,,0.0002894604695029557,0.01653226464986801,2.541560173034668,0.002873264718800783,2790.815673828125,0.8472773432731628,2.4451043605804443,21.88630485534668,1.283348560333252,410.9844970703125,2.6503726560740444,3.361969160813248,9.834880260931547,2.6018774006556695,154.4512995627702,1.0509112959011853,1.2078869571250486,4.631914687292291,1.02726028541282,110.18953378791687,1step,16.0,encoded,moment,runs/lorenz__moment__1step__seed2,2,256,10000
1.104799794953388,0.0,14.38566367224859,15.57086306870363,lorenz,1.0457763458604021,1.1638454957694626,3.0186200653353907,1.0900079180683977,57.48742353107319,1.0432899869320362,1.1028442225408077,1.8445326881917063,1.0809340277584156,6.104178672753324,0.12394760549068451,0.0002556094550527632,1.2369199991226196,0.9659901857376099,1.1074738502502441,2.0490236282348633,0.9548180103302002,3.88039493560791,11029.53060958905,0.1,16,0.965468124056803,,0.00031918930471874774,0.01614878699183464,4.066917419433594,0.003010838758200407,20118.51171875,0.7927824258804321,2.1996817588806152,24.832149505615234,1.0964632034301758,1071.197021484375,2.547129492271092,3.088937558958057,14.955097594517152,2.5343252656042754,854.5413595746584,1.0102096865776888,1.288928452296211,6.185223838536082,1.0407591915742314,223.0739071311234,1step,16.0,encoded,moment,runs/lorenz__moment__1step__seed3,3,256,10000
0.1693150994135395,0.0,14.976290230998009,15.376688853206609,lorenz,0.9839001453176281,1.0525644880702345,1.1844933132757267,1.0119497094391396,1.0317681461700308,0.9787849233075464,1.0301826528639766,0.9849509270768803,1.0031931274771302,0.8909136167747229,0.09655636548995972,0.00018784982967190444,0.963685154914856,0.9593846797943115,1.0721650123596191,1.9810681343078613,0.930982768535614,4.019011497497559,244.46423902845234,0.1,16,0.982332202760525,,0.00030356214847415686,0.011744065210223198,0.37222886085510254,0.0024982509203255177,3.2973792552948,0.8289505839347839,1.9814749956130981,5.2710862159729,1.2424662113189697,14.298250198364258,1.7038504536699843,1.732770298166323,4.5082081132084415,1.5269100554126396,10.067332191927076,0.9439387258651293,1.1285228173611193,2.346561958231281,0.9421077421124604,4.146688042209095,1step,16.0,encoded,moment,runs/lorenz__moment__1step__seed4,4,256,10000
0.017487598394937267,0.0,14.692562079803285,15.476079422368906,lorenz,0.9741910238296029,1.051406805245461,1.0176414016857458,1.0125185553219962,0.9494401507082547,0.9600134580412003,1.049365472721214,0.9797656477952608,0.991267864362805,1.0446839767603544,0.07603409886360168,0.0019195309141650796,0.741145670413971,0.9637553691864014,1.0885626077651978,1.8144530057907104,0.9472656846046448,2.9776477813720703,117.18394822847242,0.1,16,0.9740010635737886,,0.002026592381298542,0.004722162149846554,0.05647067725658417,0.0027462118305265903,0.1993429958820343,0.7908489108085632,1.3510686159133911,2.718430995941162,1.0133837461471558,4.20651912689209,2.459267324378237,1.8805443519389515,2.2599429329305076,2.0064455451915877,3.040197822893201,0.9388818298289773,1.1445221337400744,1.846462500105773,0.9591240824819967,2.8270983583019986,bptt,16.0,encoded,moment,runs/lorenz__moment__bptt__seed0,0,256,10000
0.007898744038202163,0.0,15.11210696763583,15.716997389441895,lorenz,0.9165293096673346,1.005820242180453,1.0079300214133187,0.9738803782912723,0.9128762199859718,0.9110978058092603,1.006421816055135,0.9843967022781873,0.9679437305268014,0.914077931304966,0.11920216679573059,0.0017450581071898341,1.1745710372924805,0.9628359079360962,1.0800820589065552,1.8518834114074707,0.9400607347488403,2.8015360832214355,102.81718243384313,0.1,16,0.9769189919815588,,0.0020212423987686634,0.003250239882618189,0.02175886556506157,0.0022961762733757496,0.1613283008337021,0.7967779040336609,1.2974284887313843,2.227229595184326,0.995328962802887,4.059540748596191,2.249736509403425,1.7165063105543594,2.02157455989956,1.853621807873488,2.500399097709526,0.8824673300235916,1.0863683980641536,1.8665688865149015,0.9155067039739719,2.557455669805489,bptt,16.0,encoded,moment,runs/lorenz__moment__bptt__seed1,1,256,10000
0.0017549935295173053,0.0,15.21896514564252,15.704682107815087,lorenz,0.9253739745624302,1.029017294546327,0.9982465455711248,1.0232326772867368,0.9696027847875185,0.8643622514954377,0.9762255306639582,1.0138865094067049,0.9678170199791104,1.1152066194805088,0.11082904040813446,0.0016288809711113572,1.0920015573501587,0.9623817205429077,1.0898467302322388,1.887940526008606,0.9435772895812988,3.3166913986206055,146.89036040796276,0.1,16,0.9593130608246291,,0.0022775880061089993,0.0049178157933056355,0.05626633018255234,0.0028454160783439875,0.20191630721092224,0.8216822147369385,1.5706286430358887,3.352402687072754,1.146342158317566,5.848188400268555,2.855423497506922,2.4719128647073556,3.1806303109944727,2.5269952283047252,3.2038870615888952,0.8905629977850205,1.1214711338137389,1.884630108331823,0.9654991162452349,3.2158732163833488,bptt,16.0,encoded,moment,runs/lorenz__moment__bptt__seed2,2,256,10000
0.012193099196723983,0.0,14.59771384680381,15.607088115533529,lorenz,0.9464391990768976,1.024508070629209,0.9878809354279486,1.012523202183021,1.2809386801761788,0.9060320606612084,1.0145675183376437,1.026006558836504,0.9761730010017571,1.0244498671275641,0.1305975466966629,0.001782246632501483,1.2881529331207275,0.9659901857376099,1.1074738502502441,2.0490236282348633,0.9548180103302002,3.88039493560791,140.3726475086382,0.1,16,0.9729982112245671,,0.0015955413691699505,0.004457027185708284,0.06241662800312042,0.002250012243166566,0.3072088956832886,0.83281409740448,1.5818294286727905,3.4447848796844482,1.1238958835601807,6.5335774421691895,2.5241716541977195,2.2471170036084605,2.7953447851778175,2.2362212460615214,3.649692562098088,0.914250977705647,1.134615897592179,2.024191378574626,0.9667753893215552,4.970547967379925,bptt,16.0,encoded,moment,runs/lorenz__moment__bptt__seed3,3,256,10000
0.01487524855595888,0.0,15.023330327953708,15.3482274741405,lorenz,0.8947416678407729,0.9942245671562016,0.9852348414059996,0.9673780583976461,1.1195241972675927,0.8927063247478484,0.9767150968673948,0.9926225815044105,0.9227384730688273,1.089115196170062,0.10514532774686813,0.0018607311649248004,1.0328459739685059,0.9593846797943115,1.0721650123596191,1.9810681343078613,0.930982768535614,4.019011497497559,110.06145933454984,0.1,16,0.978647769070462,,0.002864884678274393,0.004170365631580353,0.03506854176521301,0.002745214384049177,0.15764659643173218,0.8518250584602356,1.556258201599121,2.946444034576416,1.1734426021575928,6.384372234344482,2.1776745340645958,1.6314757154047,2.2481133980990973,1.765527207138036,2.8316300360990594,0.8584014485000482,1.0659727953332658,1.9518173491192852,0.9006123030276475,4.49938062054518,bptt,16.0,encoded,moment,runs/lorenz__moment__bptt__seed4,4,256,10000
