env,metric,eta2_regularizer,eta2_protocol,eta2_interaction,n
lorenz,integrated_probe_open_loop_error,0.38725850563874786,0.4915194804914627,0.21666121135149086,30
ou,integrated_probe_open_loop_error,0.5057014957210942,0.01383546248833725,0.0031583847589911956,40
pointmass,integrated_probe_open_loop_error,0.884666626875747,0.08507602084688398,0.028491023534041652,24
pointmass-state,integrated_probe_open_loop_error,0.9768343009915333,0.018854924855534985,0.018260246341177257,30
stable-linear-det,integrated_probe_open_loop_error,0.7052192563683389,0.16085976006233363,0.08991583406144633,20
